word,training_document_frequency,feature_mean,correlation
editor,1,0.0002516,0.0046803136
eerie,1,0.000681775,0.0060557057
effect,0,0.0,0.0
effective,0,0.0,0.0
effects,1,0.0001289,0.0003387889
effort,3,0.003462025,-0.0247276227
either,5,0.002249525,-0.0147745153
elections,1,0.0002516,0.0050698684
elevated,1,0.00027545,-0.0051781316
eleventh,0,0.0,0.0
elite,1,0.00032195,-0.0061786703
else,5,0.0023299,-0.0197383127
elusive,1,0.0003903,0.0048814884
embarrassing,1,0.000675475,-0.0052795388
emergence,0,0.0,0.0
emery,1,0.0002516,0.0046803136
emotion,1,0.000800275,-0.0100707804
emotional,1,0.0002516,0.0046803136
emotionally,0,0.0,0.0
emotions,0,0.0,0.0
empathizes,0,0.0,0.0
emphatic,0,0.0,0.0
en,1,0.0003903,0.0048814884
enablers,0,0.0,0.0
enamored,2,0.001223425,0.0020227732
encountering,1,0.000836725,-0.0066973172
encourages,0,0.0,0.0
end,8,0.002355,-0.0034624017
ending,2,0.000700125,0.0160750881
endless,1,0.00032195,-0.0061786703
endlessly,0,0.0,0.0
ends,1,0.00033575,0.0083780427
endures,0,0.0,0.0
energy,1,0.00032195,-0.0061786703
engaging,2,0.00155315,-0.0077266158
england,0,0.0,0.0
english,0,0.0,0.0
enjoy,2,0.00135845,0.0073664093
enjoyed,4,0.00182245,-0.0047820421
enough,6,0.0026611,-0.008981453
ensuing,0,0.0,0.0
entendres,1,0.0006102,-0.0049359133
entertain,0,0.0,0.0
entertained,2,0.00070535,0.0072341056
entertaining,4,0.00143375,-0.0159653651
entertainment,2,0.000988425,-0.0014782027
enthralled,1,0.000731475,0.0113331821
enthralling,1,0.000354475,0.0044334246
entire,1,0.000453875,0.0126768419
entitled,1,0.0003903,0.0048814884
episode,1,0.0007889,0.0038314257
equal,0,0.0,0.0
equally,1,0.000824225,-0.0174492568
er,0,0.0,0.0
era,2,0.0014341,-0.0171135081
erotic,0,0.0,0.0
escape,0,0.0,0.0
escaped,1,0.0002516,0.0046803136
escort,1,0.000800275,-0.0100707804
especially,4,0.002074375,-0.0106082511
essence,1,0.000397275,0.0111953307
established,1,0.00033575,0.0083780427
establishing,1,0.000330675,0.0051084588
establishment,0,0.0,0.0
establishments,0,0.0,0.0
estate,1,0.000141925,0.0003730226
estranged,1,0.0002516,0.0046803136
estrangement,1,0.00027545,-0.0051781316
etc,1,0.000535375,-0.0041845118
even,14,0.005503175,-0.0253685577
evening,1,0.000731475,0.0113331821
evenings,1,0.0003903,0.0048814884
event,1,0.0007216,0.0203349081
events,5,0.002254175,0.0112268632
eventually,4,0.00179225,-0.0147315142
ever,4,0.0022237,-0.0091000362
every,4,0.001817425,0.0175234866
everybody,0,0.0,0.0
everyone,4,0.001544575,-0.0119283557
everything,3,0.002264475,0.0113110911
everywhere,1,0.000300325,0.0046395945
evicted,1,0.000759925,-0.0060825943
evident,0,0.0,0.0
evil,1,0.001314825,-0.000936568
evokes,1,0.000330675,0.0051084588
ex,2,0.000745575,0.0117168653
exact,0,0.0,0.0
exactly,2,0.00094045,-0.006950352
example,1,0.000767875,-0.0110225095
exceedingly,0,0.0,0.0
excellent,6,0.002919275,-0.0176612845
except,1,0.000283075,0.007063632
exception,1,0.000340825,0.0070685758
exceptionally,1,0.000300325,0.0046395945
exchange,0,0.0,0.0
exchanges,1,0.0006102,-0.0049359133
excitement,1,0.000141925,0.0003730226
excoriated,1,0.0010619,-0.0166041122
excruciatingly,1,0.000800275,-0.0100707804
excuse,0,0.0,0.0
exemplary,1,0.000300325,0.0046395945
exercises,0,0.0,0.0
exist,1,0.000340825,0.0070685758
existence,2,0.000582975,0.0086840273
existential,1,0.000337725,-0.0026396717
exiting,0,0.0,0.0
expect,4,0.002217425,-0.0004219663
expected,3,0.001080625,-0.004661267
expecting,1,0.00049975,0.013958142
expensive,0,0.0,0.0
experience,0,0.0,0.0
explain,0,0.0,0.0
exploitationer,0,0.0,0.0
exploits,1,0.00077775,-0.0056041827
explores,0,0.0,0.0
exposes,0,0.0,0.0
exposing,0,0.0,0.0
expressing,0,0.0,0.0
expressionist,1,0.00027545,-0.0051781316
expressions,0,0.0,0.0
exteriors,1,0.00033575,0.0083780427
extra,1,0.0002579,0.0006778407
extreme,1,0.00027545,-0.0051781316
extremes,0,0.0,0.0
eye,1,0.0010935,-0.0163728
eyes,0,0.0,0.0
f,1,0.00072185,-0.0149809273
fabulous,0,0.0,0.0
face,1,0.00066875,0.0118472711
faces,1,0.000141925,0.0003730226
facial,0,0.0,0.0
facing,1,0.000141925,0.0003730226
fact,4,0.001572975,-0.0027164644
faded,1,0.000681775,0.0060557057
fail,0,0.0,0.0
failed,1,0.001624175,-0.0365085135
fails,1,0.000634725,0.0075923842
fairways,0,0.0,0.0
fake,0,0.0,0.0
fall,1,0.000890725,3.0471e-06
falling,0,0.0,0.0
falls,0,0.0,0.0
false,1,0.0006192,0.005499898
fame,2,0.000876775,0.0115349112
familiar,2,0.000402725,0.0073781091
familiarity,0,0.0,0.0
family,2,0.0009232,-0.009382942
fan,3,0.00158655,-0.0011503626
fanatic,1,0.0006102,-0.0049359133
fans,1,0.000457,0.0085012055
fantastic,3,0.00167765,0.0256489115
far,5,0.00155955,0.0007840854
fare,1,0.000634725,0.0075923842
fares,1,0.000862775,0.0063526048
farley,0,0.0,0.0
fart,1,0.00027545,-0.0051781316
fashion,1,0.000453875,0.0126768419
fashionable,0,0.0,0.0
fashioned,1,0.0002285,0.0042506028
fashions,1,0.000141925,0.0003730226
fast,1,0.000141925,0.0003730226
faster,1,0.00033575,0.0083780427
father,0,0.0,0.0
fault,0,0.0,0.0
favorite,4,0.002064625,-0.0034540684
favourite,1,0.0001289,0.0003387889
faye,0,0.0,0.0
fear,0,0.0,0.0
feature,0,0.0,0.0
feel,4,0.001252125,0.0135992384
feeling,4,0.001255775,0.0126614588
feelings,2,0.00118945,-0.0062106346
feels,1,0.000862775,0.0063526048
fegsen,0,0.0,0.0
fell,0,0.0,0.0
felt,4,0.001999625,0.0079443524
female,1,0.0006102,-0.0049359133
fence,0,0.0,0.0
festival,0,0.0,0.0
fetched,1,0.0007889,0.0038314257
fetish,0,0.0,0.0
few,4,0.001267775,0.0070713155
fiction,1,0.001269425,-0.0240380732
fiend,1,0.000634725,0.0075923842
fight,2,0.001221625,-0.0102655096
fighting,1,0.00066875,0.0118472711
figure,1,0.000348275,-0.004786896
files,1,0.000681775,0.0060557057
fill,1,0.000687,-0.0050195586
filled,0,0.0,0.0
filler,0,0.0,0.0
film,26,0.0091435,-0.0181386502
filmed,1,0.00119415,-0.0008506096
films,4,0.001592675,-0.0103515701
final,0,0.0,0.0
finale,0,0.0,0.0
finally,2,0.000461475,0.0077579651
financially,1,0.0007889,0.0038314257
find,7,0.002706425,-0.0084910158
finds,2,0.0006548,0.009073019
fine,1,0.00087845,0.00076391
finely,1,0.0002516,0.0046803136
finger,1,0.00077775,-0.0056041827
finish,1,0.00038345,-0.0052703619
finished,1,0.00038345,-0.0052703619
firemen,0,0.0,0.0
first,5,0.00197515,-0.0007019173
fischer,0,0.0,0.0
fisher,1,0.000890725,3.0471e-06
fitting,0,0.0,0.0
five,1,0.000630825,-0.0042715262
fix,1,0.000681775,0.0060557057
flabby,0,0.0,0.0
flames,0,0.0,0.0
flashbacks,1,0.000141925,0.0003730226
flat,1,0.000808975,2.7674e-06
flawed,1,0.000808975,2.7674e-06
flawlessly,1,0.00038345,-0.0052703619
flaws,1,0.00032195,-0.0061786703
flesh,1,0.000141925,0.0003730226
fleshed,1,0.0009127,0.0103090329
flick,2,0.00075385,-0.0035321737
flicks,0,0.0,0.0
flight,2,0.000528825,0.0092439861
flitter,0,0.0,0.0
float,0,0.0,0.0
floods,1,0.000141925,0.0003730226
floor,0,0.0,0.0
flourishes,0,0.0,0.0
flown,1,0.000141925,0.0003730226
flying,1,0.0002579,0.0006778407
folks,1,0.0006102,-0.0049359133
follow,0,0.0,0.0
followable,1,0.0009127,0.0103090329
followed,1,0.000141925,0.0003730226
follows,1,0.000517075,0.0071124736
fond,1,0.0006102,-0.0049359133
foot,1,0.000340825,0.0070685758
footage,1,0.00028395,0.0007463081
for,26,0.009905325,-0.0243341048
forcedly,0,0.0,0.0
forehead,1,0.0002516,0.0050698684
foreheads,0,0.0,0.0
foreshadowing,0,0.0,0.0
forever,0,0.0,0.0
forget,2,0.00106715,0.0050777537
forgotten,1,0.0001289,0.0003387889
form,2,0.00119295,-0.0108297588
formal,1,0.0009688,-0.0139066999
former,1,0.0002516,0.0046803136
formulaic,0,0.0,0.0
forrest,1,0.0009688,-0.0139066999
forward,1,0.000397275,0.0111953307
fought,0,0.0,0.0
foul,1,0.000836725,-0.0066973172
found,5,0.001769825,0.0168784037
foundations,1,0.000681775,0.0060557057
fourteen,1,0.00033575,0.0083780427
fox,0,0.0,0.0
foxworth,1,0.000141925,0.0003730226
fragile,1,0.000397275,0.0111953307
frail,1,0.000141925,0.0003730226
frailty,0,0.0,0.0
framing,1,0.00033575,0.0083780427
francis,0,0.0,0.0
franco,0,0.0,0.0
frankenstein,1,0.0002516,0.0050698684
fraud,1,0.000340825,0.0070685758
frederic,1,0.0009688,-0.0139066999
freedom,0,0.0,0.0
freeways,0,0.0,0.0
frenetic,0,0.0,0.0
frequents,1,0.00033575,0.0083780427
fresh,1,0.0006102,-0.0049359133
friday,1,0.00057645,0.0068953167
friend,2,0.00087155,0.0115458982
friendly,0,0.0,0.0
friends,1,0.0002661,0.0066400512
friendship,1,0.000569325,0.0078311832
friendships,0,0.0,0.0
from,18,0.0061865,0.0013521691
front,1,0.0002924,-0.0056115645
fruity,1,0.0006102,-0.0049359133
full,2,0.000442775,0.001532961
fume,1,0.0009127,0.0103090329
fumes,1,0.0002516,0.0050698684
fun,1,0.0006102,-0.0049359133
funeral,0,0.0,0.0
funnier,1,0.000337725,-0.0026396717
funny,4,0.0030151,-0.0203158692
further,1,0.000304925,0.0076088598
future,2,0.001988275,-0.0206564081
fyi,0,0.0,0.0
gabriel,6,0.00299745,0.0605735968
gained,0,0.0,0.0
galiena,0,0.0,0.0
game,0,0.0,0.0
games,0,0.0,0.0
gangsters,0,0.0,0.0
garb,0,0.0,0.0
gas,2,0.0003574,0.0045893917
gave,1,0.00161785,5.5345e-06
gay,3,0.001302775,-0.006289487
gender,0,0.0,0.0
genera,1,0.001648375,-0.0307628482
general,2,0.001333775,4.62626e-05
generally,1,0.0010619,-0.0166041122
generated,1,0.000141925,0.0003730226
generation,1,0.000340825,0.0070685758
generic,0,0.0,0.0
genre,1,0.000304925,0.0076088598
gentlemen,0,0.0,0.0
genuinely,1,0.0002516,0.0046803136
george,2,0.0004864,0.0052822323
german,1,0.000271425,-0.005209025
get,6,0.004140425,-0.0433229609
gets,3,0.001083925,0.0150519063
getting,5,0.002656425,-0.0307977049
ghetto,1,0.000736325,0.013044399
ghost,3,0.00387495,-0.0545041574
ghosts,0,0.0,0.0
giant,1,0.00032195,-0.0061786703
girl,0,0.0,0.0
girls,0,0.0,0.0
give,5,0.002396825,0.017813146
given,4,0.0010764,0.0199769429
gives,4,0.001405575,0.0224564341
giving,3,0.0009709,0.0148551687
glass,0,0.0,0.0
gloss,1,0.000397275,0.0111953307
glossy,0,0.0,0.0
go,5,0.0021225,0.0003100845
goal,1,0.000634725,0.0075923842
god,1,0.000340825,0.0070685758
godby,1,0.000340825,0.0070685758
goddard,1,0.0002516,0.0050698684
goes,3,0.000762325,0.0117742273
going,4,0.0013217,-0.0143462179
gold,0,0.0,0.0
goldberg,1,0.000694575,-0.0047031987
golf,0,0.0,0.0
golfer,0,0.0,0.0
golfers,0,0.0,0.0
gone,2,0.001218525,0.005809858
good,18,0.007253425,-0.005907867
got,2,0.000797725,0.0003091344
gothic,0,0.0,0.0
grable,0,0.0,0.0
grace,1,0.001269425,-0.0240380732
graceful,0,0.0,0.0
grader,1,0.0009688,-0.0139066999
gradual,0,0.0,0.0
graduates,0,0.0,0.0
grand,0,0.0,0.0
granger,0,0.0,0.0
grant,1,0.000141925,0.0003730226
grass,0,0.0,0.0
grassy,0,0.0,0.0
grate,0,0.0,0.0
gratifying,0,0.0,0.0
gratitude,1,0.000330675,0.0051084588
gratuitous,0,0.0,0.0
graveyard,0,0.0,0.0
great,7,0.0031737,0.020308659
greatest,0,0.0,0.0
green,0,0.0,0.0
greens,0,0.0,0.0
greenwood,0,0.0,0.0
grim,0,0.0,0.0
gripping,1,0.000731475,0.0113331821
grips,1,0.0009463,0.0008229131
gritty,1,0.000756425,-0.0055268116
grounding,0,0.0,0.0
group,1,0.001269425,-0.0240380732
grown,1,0.0002285,0.0042506028
guarantee,1,0.000746275,0.0109007462
guardian,1,0.00033575,0.0083780427
guess,1,0.00038345,-0.0052703619
guessed,1,0.000836725,-0.0066973172
guide,1,0.00057645,0.0068953167
gun,0,0.0,0.0
guns,1,0.00072185,-0.0149809273
gut,0,0.0,0.0
guy,3,0.001503875,0.007758711
gymnastic,0,0.0,0.0
habit,0,0.0,0.0
habits,1,0.000337725,-0.0026396717
hackneyed,1,0.000824225,-0.0174492568
hacks,1,0.000397275,0.0111953307
had,11,0.0041325,-0.0283266914
hair,0,0.0,0.0
haircut,0,0.0,0.0
half,1,0.0003961,0.0110631717
halitosis,1,0.00027545,-0.0051781316
hall,2,0.000429225,0.0049783834
hallucinatory,0,0.0,0.0
hammers,1,0.001624175,-0.0365085135
hand,2,0.00073825,-0.0084950501
handed,1,0.00072185,-0.0149809273
handicaps,0,0.0,0.0
hands,1,0.000329075,0.0041157464
hang,0,0.0,0.0
hangout,1,0.000836725,-0.0066973172
happen,0,0.0,0.0
happened,4,0.001572675,-0.0006124663
happening,2,0.001706225,-0.0052596812
happens,3,0.00101285,-0.0010461414
happiness,0,0.0,0.0
happy,1,0.00027545,-0.0051781316
hard,2,0.001237775,-0.0034403103
harmless,1,0.000836725,-0.0066973172
harmon,2,0.002105925,-0.0374291036
harrelson,2,0.000988925,-0.0151850129
harrison,1,0.001269425,-0.0263461994
harrowing,2,0.0006548,0.009073019
harry,0,0.0,0.0
harsh,1,0.000141925,0.0003730226
has,13,0.0052779,0.0591833731
hate,0,0.0,0.0
hatred,0,0.0,0.0
hats,0,0.0,0.0
haunted,2,0.001775675,-0.0259128227
haunting,0,0.0,0.0
have,26,0.0091408,0.0322018533
haven,1,0.000836725,-0.0066973172
having,5,0.00141055,-0.0156464079
hazy,1,0.000756425,-0.0055268116
hbo,0,0.0,0.0
he,18,0.007893025,0.0326369221
head,0,0.0,0.0
heads,0,0.0,0.0
hear,1,0.001041925,0.0009060697
heard,1,0.00033575,0.0083780427
heart,1,0.000306725,-0.0023973745
hearted,1,0.0002516,0.0046803136
heartland,0,0.0,0.0
heat,1,0.00032195,-0.0061786703
heavy,0,0.0,0.0
heck,0,0.0,0.0
held,1,0.000569325,0.0078311832
helicopters,1,0.000141925,0.0003730226
hell,1,0.000746275,0.0109007462
help,3,0.0012425,0.016365181
helped,1,0.000330675,0.0051084588
helps,2,0.0005893,0.0144180568
her,11,0.00486165,-0.0231997147
here,7,0.002347725,0.0188635679
hero,0,0.0,0.0
heroic,0,0.0,0.0
heroism,0,0.0,0.0
herself,0,0.0,0.0
hi,1,0.00028395,0.0007463081
hid,1,0.000634725,-0.0131733591
hides,1,0.000330675,0.0051084588
high,2,0.003070025,0.0187883096
higher,1,0.000726825,-0.0091464746
highly,3,0.000991525,0.0075156637
highway,1,0.000330675,0.0051084588
hilarious,1,0.000306725,-0.0023973745
hill,0,0.0,0.0
hills,0,0.0,0.0
him,6,0.00137265,0.0123312874
himself,9,0.00268595,0.0316867824
hints,2,0.001776725,-0.0091002613
his,21,0.0090918,0.0496370178
historic,0,0.0,0.0
historical,0,0.0,0.0
history,0,0.0,0.0
hit,1,0.000141925,0.0003730226
hitchcock,3,0.001595425,0.0020759718
hitchcockian,2,0.000910875,0.0211780474
hits,1,0.000141925,0.0003730226
hiv,1,0.00033575,0.0083780427
hoax,1,0.0002516,0.0046803136
hobo,1,0.000736325,0.013044399
hokey,1,0.000681775,0.0060557057
hokum,1,0.000836725,-0.0066973172
holes,2,0.001010475,0.0124194719
hollow,3,0.002290125,-0.0300742134
hollywood,2,0.0011094,-0.0056807835
home,2,0.000543875,0.0088628274
homeless,2,0.00125715,0.023820588
homelessness,2,0.001037475,0.0046071591
homes,0,0.0,0.0
homosexual,1,0.00032195,-0.0061786703
homosexuality,1,0.000824225,-0.0174492568
honesty,0,0.0,0.0
hongshen,0,0.0,0.0
hongsheng,0,0.0,0.0
hood,0,0.0,0.0
hoodwink,1,0.0002516,0.0046803136
hope,1,0.0002285,0.0042506028
hopefully,1,0.001624175,-0.0365085135
horrible,3,0.00190285,-0.0390815922
horribly,0,0.0,0.0
horrific,1,0.000340825,0.0070685758
horror,3,0.002990025,-0.0536479767
horse,0,0.0,0.0
horserace,0,0.0,0.0
hospital,2,0.00128795,0.0173471691
host,3,0.00108785,0.0150249233
hot,4,0.003187425,-0.0474281017
hour,5,0.0014761,0.0145554452
hours,2,0.00117165,-0.0162540301
house,2,0.001775675,-0.0259128227
houselessness,1,0.0002516,0.0050698684
how,10,0.004116775,-0.0225539563
howard,2,0.001725575,-0.0233348157
however,8,0.002532525,0.0127847946
howlers,1,0.000337725,-0.0026396717
huge,1,0.0001289,0.0003387889
huh,0,0.0,0.0
human,2,0.0004875,0.0122200668
humble,0,0.0,0.0
humidity,1,0.00032195,-0.0061786703
humility,0,0.0,0.0
humor,1,0.0006167,0.009554904
humorous,0,0.0,0.0
hung,1,0.000694575,-0.0047031987
hungry,0,0.0,0.0
hunted,0,0.0,0.0
hurt,1,0.000337725,-0.0026396717
hushed,1,0.00033575,0.0083780427
hybrid,1,0.000634725,0.0075923842
hypnotic,1,0.00033575,0.0083780427
i,30,0.01921365,-0.0038147442
ice,0,0.0,0.0
iconic,0,0.0,0.0
idea,2,0.00109335,-0.0147415727
idealistic,0,0.0,0.0
idealized,0,0.0,0.0
ideas,1,0.000141925,0.0003730226
identity,1,0.000250175,-0.0047029917
idiots,1,0.000890725,3.0471e-06
idol,0,0.0,0.0
idolized,0,0.0,0.0
if,14,0.00574185,-0.0198300041
ill,1,0.00048,0.0066024993
illicit,1,0.00027545,-0.0051781316
illnesses,1,0.0003903,0.0048814884
images,1,0.00042135,0.0117684105
imaginary,0,0.0,0.0
imagination,1,0.00049975,0.013958142
imagine,0,0.0,0.0
imagines,0,0.0,0.0
imitating,1,0.0010619,-0.0166041122
imitations,1,0.0010619,-0.0166041122
immediacy,0,0.0,0.0
immediately,1,0.0007889,0.0038314257
immersed,1,0.00027545,-0.0051781316
impact,1,0.000569325,0.0078311832
impersonation,1,0.000330675,0.0051084588
implications,0,0.0,0.0
impress,1,0.00049975,0.013958142
impressionable,0,0.0,0.0
impressive,1,0.000890725,3.0471e-06
improvisational,1,0.00027545,-0.0051781316
in,37,0.018058625,-0.0456506238
inability,0,0.0,0.0
inadequacy,1,0.0010935,-0.0163728
incapable,1,0.00032195,-0.0061786703
incessant,0,0.0,0.0
include,1,0.000340825,0.0070685758
included,1,0.000824225,-0.0174492568
including,2,0.0004864,0.0052822323
incredible,1,0.000340825,0.0070685758
incredibly,1,0.000306725,-0.0023973745
incurred,0,0.0,0.0
indebtedness,0,0.0,0.0
independence,0,0.0,0.0
indianapolis,0,0.0,0.0
indicates,0,0.0,0.0
indifferently,1,0.000736325,0.013044399
indulgent,1,0.00027545,-0.0051781316
inevitably,1,0.00077775,-0.0056041827
inexplicable,1,0.000824225,-0.0174492568
inferior,0,0.0,0.0
inflation,1,0.0002516,0.0050698684
influence,0,0.0,0.0
information,1,0.0003903,0.0048814884
ing,0,0.0,0.0
ingmar,1,0.0005509,-0.0103562632
initially,1,0.000330675,0.0051084588
inkling,0,0.0,0.0
inmates,0,0.0,0.0
inn,1,0.000890725,3.0471e-06
inner,1,0.0002516,0.0046803136
input,0,0.0,0.0
insane,2,0.00145635,-0.0057352626
inside,2,0.0008775,-0.0155094487
insight,1,0.00027545,-0.0051781316
insightful,1,0.0007889,0.0038314257
insistence,1,0.00027545,-0.0051781316
insomnia,1,0.000340825,0.0070685758
inspect,1,0.000634725,0.0075923842
inspector,1,0.0007889,0.0038314257
inspirational,0,0.0,0.0
inspire,1,0.0002516,0.0050698684
inspired,2,0.001300675,0.0128821136
inst,0,0.0,0.0
instead,5,0.001696725,-0.0039090557
institute,0,0.0,0.0
integrity,0,0.0,0.0
intellectual,1,0.000337725,-0.0026396717
intelligentsia,1,0.00027545,-0.0051781316
intense,1,0.000731475,0.0113331821
intensity,1,0.000824225,-0.0174492568
intentionally,1,0.00027545,-0.0051781316
intentions,1,0.000862775,0.0063526048
intercessor,0,0.0,0.0
interest,1,0.001269425,-0.0263461994
interesting,5,0.0056495,-0.0182696681
interior,1,0.000141925,0.0003730226
interiors,2,0.001363875,-0.0189015698
interminable,1,0.00027545,-0.0051781316
intermittent,0,0.0,0.0
international,1,0.0006102,-0.0049359133
intimidated,0,0.0,0.0
into,10,0.002776325,0.0039649774
intonations,1,0.000337725,-0.0026396717
intoned,1,0.000337725,-0.0026396717
intrigued,1,0.0002516,0.0046803136
intriguing,2,0.001461375,0.0156698152
introduced,1,0.000397275,0.0111953307
introspective,1,0.00027545,-0.0051781316
invade,1,0.000736325,0.013044399
inventory,0,0.0,0.0
investigating,1,0.0002516,0.0046803136
investigation,1,0.000800275,-0.0100707804
involved,3,0.001014425,-0.0097783508
involves,0,0.0,0.0
iraq,2,0.000576775,-0.0001825044
irish,0,0.0,0.0
irrational,0,0.0,0.0
irrevocably,1,0.000397275,0.0111953307
irritating,0,0.0,0.0
is,34,0.021837775,-0.0310114372
island,1,0.000141925,0.0003730226
isn,4,0.0019433,0.0193856394
isolated,1,0.000141925,0.0003730226
isolation,1,0.0003903,0.0048814884
issue,1,0.0002516,0.0050698684
issues,1,0.0003608,0.0101674541
it,38,0.019023825,0.0214480638
italian,1,0.0002924,-0.0056115645
italians,1,0.000890725,3.0471e-06
its,4,0.00325055,-0.0076855915
itself,1,0.000664325,0.0102927868
jack,1,0.0001289,0.0003387889
jacked,1,0.000141925,0.0003730226
jacking,1,0.000141925,0.0003730226
jake,0,0.0,0.0
james,1,0.00028395,0.0007463081
jameson,1,0.000141925,0.0003730226
japanese,0,0.0,0.0
jeans,0,0.0,0.0
jeffery,1,0.0002516,0.0050698684
jeffrey,1,0.000736325,0.013044399
jerry,1,0.000141925,0.0003730226
jess,5,0.0015799,0.0341384588
jesus,0,0.0,0.0
jetliner,1,0.000141925,0.0003730226
jettisons,1,0.00027545,-0.0051781316
jia,0,0.0,0.0
jinxed,1,0.000141925,0.0003730226
job,5,0.002168375,0.0153228527
joe,4,0.0008833,0.0119226295
john,2,0.0005412,0.0080617381
johnson,1,0.000681775,0.0141397441
jokes,1,0.000890725,3.0471e-06
jon,1,0.000694575,-0.0047031987
josh,0,0.0,0.0
journey,0,0.0,0.0
judge,1,0.00070635,-0.0050897004
judgement,0,0.0,0.0
judges,0,0.0,0.0
judy,1,0.000694575,-0.0047031987
julie,1,0.000141925,0.0003730226
jump,2,0.001283525,0.0157926849
jumped,1,0.00038345,-0.0052703619
junkie,0,0.0,0.0
just,14,0.0057294,-0.0149065518
kane,1,0.000890725,3.0471e-06
kathleen,1,0.000141925,0.0003730226
keep,2,0.0010935,-0.0013740115
keeper,1,0.000634725,0.0075923842
keeps,2,0.000433825,0.0079476487
kennedy,1,0.00028395,0.0007463081
kenneth,1,0.000337725,-0.0026396717
kept,2,0.000973675,0.0099333226
kevin,0,0.0,0.0
key,1,0.000503175,0.0093601621
kicked,1,0.002538975,-0.0480785133
kid,2,0.001714725,-0.0198917872
kids,1,0.0002516,0.0050698684
kill,1,0.0002516,0.0050698684
killed,1,0.0002516,0.0050698684
killer,1,0.000340825,0.0070685758
killing,0,0.0,0.0
kind,3,0.00164225,0.0036433645
king,1,0.000890725,3.0471e-06
kirkland,1,0.0009688,-0.0139066999
kites,0,0.0,0.0
knack,0,0.0,0.0
knew,1,0.0007165,0.0034798029
knock,1,0.000141925,0.0003730226
know,8,0.002592725,-0.0130330683
knowledge,1,0.000354475,0.0044334246
known,1,0.000141925,0.0003730226
knows,0,0.0,0.0
kristin,4,0.00171545,-0.0333456855
kutcher,0,0.0,0.0
labeouf,0,0.0,0.0
laboeuf,0,0.0,0.0
lack,2,0.00083525,-0.0047509115
lacked,1,0.00077775,-0.0056041827
lacking,1,0.0001289,0.0003387889
lacks,1,0.000800275,-0.0100707804
lady,1,0.000736325,0.013044399
lame,0,0.0,0.0
land,2,0.000429225,0.0049783834
landscapes,0,0.0,0.0
language,1,0.000250175,-0.0047029917
languages,1,0.00032195,-0.0061786703
lanky,0,0.0,0.0
lapse,1,0.001314825,-0.000936568
lard,0,0.0,0.0
larry,1,0.000736325,0.013044399
last,2,0.000945775,0.0136706504
late,2,0.000854525,0.0001566657
lately,2,0.001283525,0.0231347501
later,2,0.000851275,0.0082466342
latest,1,0.0002516,0.0046803136
latin,0,0.0,0.0
latter,0,0.0,0.0
laugh,1,0.000337725,-0.0026396717
laughs,1,0.000694575,-0.0047031987
laughter,0,0.0,0.0
lauren,3,0.00128965,-0.0243645608
law,2,0.0020293,-0.0376405062
lawyer,1,0.00147255,0.0260870265
lawyers,1,0.000736325,0.013044399
lay,1,0.001041925,0.0009060697
layout,0,0.0,0.0
lead,2,0.00203715,0.0030415832
leaden,0,0.0,0.0
leading,2,0.001773625,-1.28474e-05
leads,1,0.00032195,-0.0061786703
leaking,1,0.000141925,0.0003730226
lean,1,0.00033575,0.0083780427
learn,1,0.0007486,-0.0158482376
learning,0,0.0,0.0
least,2,0.00095395,0.0106372833
leave,2,0.000692125,0.0105484911
leaves,2,0.000614475,0.0140288045
lebouf,0,0.0,0.0
led,0,0.0,0.0
lee,1,0.00028395,0.0007463081
left,3,0.001239175,0.0034375647
leg,2,0.000528825,0.0092439861
legs,1,0.00066875,0.0118472711
lemmon,1,0.000141925,0.0003730226
lennon,0,0.0,0.0
lesbian,0,0.0,0.0
lesley,2,0.00089725,0.0164516627
leslie,1,0.0009127,0.0103090329
less,3,0.002143575,0.0013444242
lesson,1,0.0002516,0.0050698684
lest,0,0.0,0.0
let,3,0.001633425,-0.0213972307
lethargic,1,0.00028395,0.0007463081
lets,1,0.000397275,0.0111953307
level,1,0.0009688,-0.0139066999
liar,0,0.0,0.0
liberties,0,0.0,0.0
lies,0,0.0,0.0
life,8,0.002484125,0.0139827896
lifestyles,1,0.0003903,0.0048814884
lifted,1,0.000337725,-0.0026396717
light,1,0.000337725,-0.0026396717
lights,1,0.001041925,0.0009060697
like,19,0.006460675,0.0116912673
liked,6,0.00495655,-0.0209437021
likely,1,0.00038345,-0.0052703619
likewise,0,0.0,0.0
lily,2,0.000640675,-0.0103984605
limousine,0,0.0,0.0
line,3,0.00131145,-0.0116606433
lines,2,0.000599125,-0.008008939
lip,1,0.000800275,-0.0100707804
lipstick,0,0.0,0.0
lisa,1,0.0002516,0.0046803136
listen,1,0.0002516,0.0046803136
listener,6,0.00296465,0.054766518
listing,0,0.0,0.0
listner,1,0.0003903,0.0048814884
literally,2,0.001351325,0.0052732282
little,9,0.002971375,0.0255381156
live,1,0.000503175,0.0101392331
lived,1,0.00027545,-0.0051781316
lives,2,0.00056715,0.0050727355
living,0,0.0,0.0
ll,3,0.0010111,-0.0023268305
load,1,0.00032195,-0.0061786703
loaded,1,0.000141925,0.0003730226
loathing,0,0.0,0.0
locate,1,0.000634725,0.0075923842
location,0,0.0,0.0
locations,0,0.0,0.0
locked,0,0.0,0.0
logand,4,0.001036925,0.0182670617
logic,1,0.000569325,0.0078311832
london,0,0.0,0.0
lonely,1,0.000304925,0.0076088598
long,2,0.001543125,-0.0262192288
